"key";"name";"coordinates";"capacity";"free";"open_closed"
"bahnhof";"Bahnhof Parking";"46.949591,7.438178";"622";"270";"N/A"
"metro";"Parkhaus Metro";"46.949005,7.444138";"465";"180";"N/A"
"rathaus";"Rathaus Parking";"46.949477,7.45105";"586";"435";"N/A"
"citywest";"Parking City-West";"46.946218,7.434163";"430";"133";"N/A"
"mobiliar";"Mobiliar Parking";"46.945649,7.43799";"90";"26";"N/A"
"casino";"Parking Casino";"46.946694,7.447649";"542";"126";"N/A"
"beaexpo";"Parking BEA Bern Expo";"46.957434,7.469124";"720";"242";"N/A"
"neufeld";"Park + Ride Neufeld";"46.963438,7.432271";"305";"124";"N/A"
