"key";"name";"coordinates";"capacity";"free";"open_closed"
"Altstadt";"Altstadt";"";"n/a";"n/a";"n/a"
"Lago";"Lago";"";"n/a";"n/a";"n/a"
"Marktstätte";"Marktstätte";"";"n/a";"n/a";"n/a"
"Augustiner/Karstadt";"Augustiner/Karstadt";"";"n/a";"n/a";"n/a"
"Fischmarkt";"Fischmarkt";"";"n/a";"n/a";"n/a"
"Döbele";"Döbele";"";"n/a";"n/a";"n/a"
"Seerheincenter";"Seerheincenter";"";"n/a";"n/a";"n/a"
"Benediktiner";"Benediktiner";"";"n/a";"n/a";"n/a"
